name,Length,Speed,Location,Status,Opening date,Type,Manufacturer,Height restriction,Model,Height,Inversions,Lift/launch system,Cost,Trains,Park section,Duration,Capacity,G-force,Designer,Max vertical angle,Drop,Soft opening date,Fast Lane available,Replaced,Track layout,Fastrack available,Soft opening date.1,Closing date,Opened,Replaced by,Website,Flash Pass Available,Must transfer from wheelchair,Theme,Single rider line available,Restraint Style,Flash Pass available,Acceleration,Restraints,Name,year_introduced,latitude,longitude,Type_Main,opening_date_clean,speed1,speed2,speed1_value,speed1_unit,speed,height_value,height_unit,height,Inversions_clean,Gforce_clean,speed_kmh
son of beast,"7,032 ft (2,143 m)",78.4 mph (126.2 km/h),kings island,removed,"april 28, 2000",wood,roller coaster corporation of america,48 in (122 cm),boomerang,218 ft (66 m),1.0,chain lift hill,"$20,500,000 usd (approximately)",2 gerstlauer trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,action zone,2:20,1600 riders per hour,4.5,werner stengel,55.7°,214 ft (65 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,terrain roller coaster,fastrack available,"april 29, 2005","june 16, 2009",1895,banshee,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2000,39.3461,-84.2647,wood,2000-04-28,78.4 mph,126.2 km/h,78.4,mph,78.4,218.0,ft,91.2,1,4.5,126.172256
dinoconda,"3,444.9 ft (1,050.0 m)",78.3 mph (126.0 km/h),china dinosaurs park,operating,"april 29, 2012",steel – 4th dimension,s&s – sansei technologies,48 in (122 cm),4th dimension coaster,226.4 ft (69.0 m),3.0,chain lift hill,$10 million,6 cars. riders are arranged 4 across in a single row for a total of 24 riders per train.,planet snoopy,1:30,1200 riders per hour,4,werner stengel,90°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2012,31.8245,119.9955,steel,2012-04-29,78.3 mph,126.0 km/h,78.3,mph,78.3,226.4,ft,91.2,3,4.0,126.01132199999999
eejanaika (roller coaster),"3,782.83 ft (1,153.01 m)",78.3 mph (126.0 km/h),fuji-q highland,operating,"july 19, 2006",steel – 4th dimension,s&s arrow,125–200 cm (4 ft 1 in–6 ft 7 in),4th dimension coaster,249.33 ft (76.00 m),3.0,chain lift hill,"3,500,000,000 yen ($31,601,283 usd)",5 cars. riders are arranged 4 across in a single row for a total of 20 riders per train.,planet snoopy,1:30,1000 riders per hour,4,alan schilke,89°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2006,35.4884,138.7808,steel,2006-07-19,78.3 mph,126.0 km/h,78.3,mph,78.3,249.33,ft,91.2,3,4.0,126.01132199999999
maxx force,"1,800 ft (550 m)",78 mph (126 km/h),six flags great america,operating,"july 4, 2019",steel – launched,s&s - sansei technologies,48 in (122 cm),compressed air launch,175 ft (53 m),5.0,chain lift hill,"$15,000,000",2 trains with 4 cars. riders are arranged 2 across in 2 rows for a total of 16 riders per train.,carousel plaza,0:23,1170 riders per hour,4.5,joe draves,90°,172 ft (52 m),"july 2, 2019",fast lane available,pictorium,twister,fastrack available,"july 2, 2019","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,lapbars with seatbelt and shinguards,flash pass available,0 to 78 (0 to 125 km/h) in 2 seconds,single lap bar,das große lego-rennen,2019,40.2898,-76.6536,steel,2019-07-04,78 mph,126 km/h,78.0,mph,78.0,175.0,ft,91.2,5,4.5,125.52852
behemoth (roller coaster),"1,620.9 m (5,318 ft)",124 km/h (77 mph),canada's wonderland,operating,4 may 2008,steel,bolliger & mabillard,137–203 cm (4 ft 6 in–6 ft 8 in),hypercoaster,70 m (230 ft),0.0,chain lift,c$26 million est.,3 trains with 8 cars. riders are arranged 2 across in 2 rows for a total of 32 riders per train.,action zone,3:10,1545 riders per hour,4.5,werner stengel,75°,69 m (226 ft),25 april 2008,fast lane available,mine train through nature's wonderland,twister,fastrack available,25 april 2008,"september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2008,43.839,-79.5406,steel,2008-05-04,124 km/h,77 mph,124.0,km/h,77.1,70.0,m,229.7,0,4.5,124.080114
superman the ride,"5,400 ft (1,600 m)",77 mph (124 km/h),six flags new england,operating,"may 5, 2000",steel,intamin,54–76 in (137–193 cm),mega coaster,208 ft (63 m),0.0,chain lift hill,"approx: $12,000,000",2 trains with 9 cars. riders are arranged 2 across in 2 rows for a total of 36 riders per train.,dc universe,2:35,1300 riders per hour,3.6,werner stengel,72°,221 ft (67 m),"april 29, 2005",fast lane available,riverside park speedway,out and backtwister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2009,42.0386,-72.6114,steel,2000-05-05,77 mph,124 km/h,77.0,mph,77.0,208.0,ft,91.2,0,3.6,123.91918
superman the ride,"5,400 ft (1,600 m)",77 mph (124 km/h),six flags new england,operating,"may 5, 2000",steel,intamin,54–76 in (137–193 cm),mega coaster,208 ft (63 m),0.0,chain lift hill,"approx: $12,000,000",2 trains with 9 cars. riders are arranged 2 across in 2 rows for a total of 36 riders per train.,dc universe,2:35,1300 riders per hour,3.6,werner stengel,72°,221 ft (67 m),"april 29, 2005",fast lane available,riverside park speedway,out and backtwister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2000,42.0386,-72.6114,steel,2000-05-05,77 mph,124 km/h,77.0,mph,77.0,208.0,ft,91.2,0,3.6,123.91918
candymonium,"4,636 ft (1,413 m)",76 mph (122 km/h),hersheypark,operating,"july 3, 2020",steel,bolliger & mabillard,54 in (137 cm),boomerang,210 ft (64 m),0.0,chain lift hill,$10 million,3 trains with 7 cars. riders are arranged 4 across in a single row for a total of 28 riders per train.,chocolatetown,2:26,1200 riders per hour,4,werner stengel,77.3°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,out and back,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2020,40.2863,-76.659,steel,2020-07-03,76 mph,122 km/h,76.0,mph,76.0,210.0,ft,91.2,0,4.0,122.30984
iron gwazi,"4,075 ft (1,242 m)",76 mph (122 km/h),busch gardens tampa bay,under construction,1972,steel – wooden,rocky mountain construction,48[1] in (122 cm),i-box track,206 ft (63 m),2.0,chain lift hill,$10 million,2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,morocco,1:50,1200 riders per hour,4,alan schilke,91°,206 ft (63 m),"april 29, 2005",fast lane available,gwazi,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2022,28.0339,-82.4231,steel,1999-01-01,76 mph,122 km/h,76.0,mph,76.0,206.0,ft,91.2,2,4.0,122.30984
x2 (roller coaster),"3,610 ft (1,100 m)",76 mph (122 km/h),six flags magic mountain,operating,"january 12, 2002",steel – 4th dimension,arrow dynamics,48 in (122 cm),4th dimension coaster,175 ft (53 m),2.0,chain lift,"$45,000,000 usd to build (2002)$10,000,000 usd to renovate (2008)[1]",3 trains with 7 cars. riders are arranged 4 across in a single row for a total of 28 riders per train.,baja ridge,1:30,1600[2] riders per hour,4gs,alan schilkerenato manzoni,88.5°,215 ft (66 m),"december 24, 2001",fast lane available,mine train through nature's wonderland,twister,fastrack available,"december 24, 2001","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2002,34.421,-118.5929,steel,2002-01-12,76 mph,122 km/h,76.0,mph,76.0,175.0,ft,91.2,2,4.0,122.30984
iron gwazi,"4,075 ft (1,242 m)",76 mph (122 km/h),busch gardens tampa bay,under construction,1972,steel – wooden,rocky mountain construction,48[1] in (122 cm),i-box track,206 ft (63 m),2.0,chain lift hill,$10 million,2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,morocco,1:50,1200 riders per hour,4,alan schilke,91°,206 ft (63 m),"april 29, 2005",fast lane available,gwazi,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1999,28.0339,-82.4231,steel,1999-01-01,76 mph,122 km/h,76.0,mph,76.0,206.0,ft,91.2,2,4.0,122.30984
zadra (roller coaster),"1,316 m (4,318 ft)",121 km/h (75 mph),energylandia,operating,22 august 2019,other,rocky mountain construction,140 cm (4 ft 7 in),boomerang,62.8 m (206 ft),3.0,chain lift hill,$10 million,2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,dragon zone,1:50,"1,050 riders per hour",4,werner stengel,90°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2019,50.0019,19.4031,other,2019-08-22,121 km/h,75 mph,121.0,km/h,75.2,62.8,m,206.0,3,4.0,121.022368
intimidator (roller coaster),"5,316 ft (1,620 m)",75 mph (121 km/h),carowinds,operating,"march 27, 2010",steel,bolliger & mabillard,54 in (137 cm),hyper coaster,232 ft (71 m),0.0,lift hill,"us$ 23,000,000",3 trains with 8 cars. riders are arranged 4 across in a single row for a total of 32 riders per train.,celebration plaza,3:33,"1,600 riders per hour",4.3,werner stengel,74°,211 ft (64 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,out and back,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2010,35.1031,-80.9394,steel,2010-03-27,75 mph,121 km/h,75.0,mph,75.0,232.0,ft,91.2,0,4.3,120.7005
steel force,"5,600 ft (1,700 m)",75 mph (121 km/h),dorney park & wildwater kingdom,operating,"may 30, 1997",steel,d. h. morgan manufacturing,48 in (122 cm),hyper coaster,200 ft (61 m),0.0,chain lift hill,"us$10,000,000",3 trains with 6 cars. riders are arranged 2 across in 3 rows for a total of 36 riders per train.,planet snoopy,3:00,"1,700 riders per hour",3.4,steve okamoto,61°,205 ft (62 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,out and back,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1997,40.5789,-75.5381,steel,1997-05-30,75 mph,121 km/h,75.0,mph,75.0,200.0,ft,91.2,0,3.4,120.7005
skyrush,"3,600 ft (1,100 m)",75 mph (121 km/h),hersheypark,operating,"may 26, 2012",steel,intamin,54–77 in (137–196 cm),wing coaster (intamin),200 ft (61 m),0.0,cable,"us$25,000,000",2 trains with 8 cars. riders are arranged 4 across in a single row for a total of 32 riders per train.,the hollow,1:03,1200 riders per hour,5,werner stengel,85°,212 ft (65 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2012,40.2898,-76.6536,steel,2012-05-26,75 mph,121 km/h,75.0,mph,75.0,200.0,ft,91.2,0,5.0,120.7005
storm runner,"2,600 ft (790 m)",75 mph (121 km/h),hersheypark,operating,"may 8, 2004",steel – launched,intamin,54 in (137 cm),accelerator coaster,150 ft (46 m),3.0,hydraulic launch,"$12,500,000",2 trains with 5 cars. riders are arranged 2 across in 2 rows for a total of 20 riders per train.,pioneer frontier,0:50,1200 riders per hour,5,werner stengel,90°,180 ft (55 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 72 mph (0 to 116 km/h) in 2 seconds,single lap bar,das große lego-rennen,2004,40.2897,-76.6536,steel,2004-05-08,75 mph,121 km/h,75.0,mph,75.0,150.0,ft,91.2,3,5.0,120.7005
steel curtain (roller coaster),"4,000 ft (1,200 m)",75 mph (121 km/h),kennywood,operating,"july 13, 2019",steel,s&s - sansei technologies,52–77[2] in (132–196 cm),boomerang,220 ft (67 m),9.0,chain lift hill,$10 million,2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,steelers country,2:00,1200 riders per hour,4,joe draves,90°,205[1] ft (62 m),"july 12, 2019",fast lane available,log jammer,twister,fastrack available,"july 12, 2019","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,pittsburgh steelers,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2019,40.3892,-79.8665,steel,2019-07-13,75 mph,121 km/h,75.0,mph,75.0,220.0,ft,91.2,9,4.0,120.7005
mamba (roller coaster),"5,600 ft (1,700 m)",75 mph (121 km/h),worlds of fun,operating,"april 18, 1998",steel,d. h. morgan manufacturing,48 in (122 cm),hypercoaster,205 ft (62 m),0.0,chain lift hill,$10 million,3 trains with 6 cars. riders are arranged 3 across in 2 rows for a total of 36 riders per train.,africa,3:00,1700 riders per hour,3.5,steve okamoto,66°,205 ft (62 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,out and back,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1998,39.172,-94.4906,steel,1998-04-18,75 mph,121 km/h,75.0,mph,75.0,205.0,ft,91.2,0,3.5,120.7005
valravn (roller coaster),"3,415 ft (1,041 m)",75 mph (121 km/h),cedar point,operating,"may 7, 2016",steel – dive coaster,bolliger & mabillard,52–78 in (132–198 cm),dive coaster,223 ft (68 m),3.0,chain lift hill,$10 million,3 trains with 3 cars. riders are arranged 8 across in a single row for a total of 24 riders per train.,main midway,2:23,"1,200 riders per hour",4,werner stengel,90°,214 ft (65 m),"may 6, 2016",fast lane available,good time theatreturnpike cars[1],twister,fastrack available,"may 6, 2016","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2016,41.4813,-82.684,steel,2016-05-07,75 mph,121 km/h,75.0,mph,75.0,223.0,ft,91.2,3,4.0,120.7005
